Country,City,University,Program,Level,Duration_Years,Tuition_USD,Living_Cost_Index,Rent_USD,Visa_Fee_USD,Insurance_USD,Exchange_Rate,Total Annual Cost (USD),Total Program Cost (USD)
UK,London,King's College London,Computer Science,Bachelor,3.0,35500,83.2,2000,490,800,0.79,38790,116370.0
UK,Edinburgh,University of Edinburgh,Computer Science,Bachelor,4.0,32500,75.4,1600,490,800,0.79,35390,141560.0
UK,Manchester,University of Manchester,Computer Science,Bachelor,3.0,31800,72.1,1400,490,800,0.79,34490,103470.0
UK,Bristol,University of Bristol,Computer Science,Bachelor,3.0,31500,74.8,1500,490,800,0.79,34290,102870.0
UK,Warwick,University of Warwick,Computer Science,Bachelor,3.0,31200,71.5,1300,490,800,0.79,33790,101370.0
UK,Glasgow,University of Glasgow,Computer Science,Bachelor,4.0,30800,73.2,1400,490,800,0.79,33490,133960.0
UK,Birmingham,University of Birmingham,Computer Science,Bachelor,3.0,30500,71.8,1300,490,800,0.79,33090,99270.0
UK,Leeds,University of Leeds,Computer Science,Bachelor,3.0,30200,71.2,1250,490,800,0.79,32740,98220.0
UK,Sheffield,University of Sheffield,Computer Science,Bachelor,3.0,29800,70.5,1200,490,800,0.79,32290,96870.0
UK,Nottingham,University of Nottingham,Computer Science,Bachelor,3.0,29500,70.8,1150,490,800,0.79,31940,95820.0
UK,Southampton,University of Southampton,Computer Science,Bachelor,3.0,29200,72.4,1300,490,800,0.79,31790,95370.0
UK,Durham,Durham University,Computer Science,Bachelor,3.0,28900,71.6,1250,490,800,0.79,31440,94320.0
UK,Liverpool,University of Liverpool,Computer Science,Bachelor,3.0,28600,70.2,1100,490,800,0.79,30990,92970.0
UK,Cardiff,Cardiff University,Computer Science,Bachelor,3.0,28300,69.8,1050,490,800,0.79,30640,91920.0
UK,Newcastle,Newcastle University,Computer Science,Bachelor,3.0,28000,70.1,1100,490,800,0.79,30390,91170.0
UK,Aberdeen,University of Aberdeen,Computer Science,Bachelor,4.0,27700,69.5,1000,490,800,0.79,29990,119960.0
UK,Leicester,University of Leicester,Computer Science,Bachelor,3.0,27400,68.9,950,490,800,0.79,29640,88920.0
UK,Reading,University of Reading,Computer Science,Bachelor,3.0,27100,71.2,1150,490,800,0.79,29540,88620.0
UK,Sussex,University of Sussex,Computer Science,Bachelor,3.0,26800,72.5,1200,490,800,0.79,29290,87870.0
UK,Essex,University of Essex,Computer Science,Bachelor,3.0,26500,69.8,1000,490,800,0.79,28790,86370.0
UK,Bath,University of Bath,Computer Science,Bachelor,3.0,26200,73.4,1250,490,800,0.79,28740,86220.0
UK,Surrey,University of Surrey,Computer Science,Bachelor,3.0,25900,71.8,1150,490,800,0.79,28340,85020.0
UK,Exeter,University of Exeter,Computer Science,Bachelor,3.0,25600,72.1,1200,490,800,0.79,28090,84270.0
UK,Kent,University of Kent,Computer Science,Bachelor,3.0,25300,70.5,1100,490,800,0.79,27690,83070.0
UK,Dundee,University of Dundee,Computer Science,Bachelor,4.0,25000,68.9,950,490,800,0.79,27240,108960.0
UK,Strathclyde,University of Strathclyde,Computer Science,Bachelor,4.0,24700,69.2,1000,490,800,0.79,26990,107960.0
UK,Heriot-Watt,Heriot-Watt University,Computer Science,Bachelor,4.0,24400,69.5,1050,490,800,0.79,26740,106960.0
UK,Loughborough,Loughborough University,Computer Science,Bachelor,3.0,24100,68.5,900,490,800,0.79,26290,78870.0
UK,Brunel,Brunel University London,Computer Science,Bachelor,3.0,23800,83.2,1800,490,800,0.79,26890,80670.0
UK,Queen Mary,Queen Mary University of London,Computer Science,Bachelor,3.0,23500,83.2,1900,490,800,0.79,26690,80070.0
UK,Royal Holloway,Royal Holloway University,Computer Science,Bachelor,3.0,23200,75.5,1400,490,800,0.79,25890,77670.0
UK,Lancaster,Lancaster University,Computer Science,Bachelor,3.0,22900,69.8,1000,490,800,0.79,25190,75570.0
UK,Swansea,Swansea University,Computer Science,Bachelor,3.0,22600,68.5,950,490,800,0.79,24840,74520.0
UK,Aston,Aston University,Computer Science,Bachelor,3.0,22300,71.8,1200,490,800,0.79,24790,74370.0
UK,Hull,University of Hull,Computer Science,Bachelor,3.0,22000,67.9,850,490,800,0.79,24140,72420.0
UK,Keele,Keele University,Computer Science,Bachelor,3.0,21700,67.5,800,490,800,0.79,23790,71370.0
UK,Plymouth,University of Plymouth,Computer Science,Bachelor,3.0,21400,69.2,950,490,800,0.79,23640,70920.0
UK,Portsmouth,University of Portsmouth,Computer Science,Bachelor,3.0,21100,70.5,1000,490,800,0.79,23390,70170.0
UK,Ulster,Ulster University,Computer Science,Bachelor,3.0,20800,67.2,800,490,800,0.79,22890,68670.0
UK,Northumbria,Northumbria University,Computer Science,Bachelor,3.0,20500,68.5,900,490,800,0.79,22690,68070.0
UK,Coventry,Coventry University,Computer Science,Bachelor,3.0,20200,69.8,950,490,800,0.79,22440,67320.0
UK,Oxford Brookes,Oxford Brookes University,Computer Science,Bachelor,3.0,19900,77.8,1500,490,800,0.79,22690,68070.0
UK,De Montfort,De Montfort University,Computer Science,Bachelor,3.0,19600,68.9,900,490,800,0.79,21790,65370.0
UK,Westminster,University of Westminster,Computer Science,Bachelor,3.0,19300,83.2,1800,490,800,0.79,22390,67170.0
UK,Greenwich,University of Greenwich,Computer Science,Bachelor,3.0,19000,83.2,1700,490,800,0.79,21990,65970.0
UK,Kingston,Kingston University,Computer Science,Bachelor,3.0,18700,83.2,1600,490,800,0.79,21590,64770.0
Canada,Toronto,University of Toronto,Computer Science,Bachelor,4.0,45200,73.5,1800,235,600,1.35,47835,191340.0
Canada,Toronto,University of Toronto,Computer Science,Master,2.0,28500,73.5,1800,235,600,1.35,31135,62270.0
Canada,Vancouver,University of British Columbia,Computer Science,Bachelor,4.0,43800,71.2,1900,235,600,1.35,46535,186140.0
Canada,Vancouver,University of British Columbia,Computer Science,Master,2.0,27900,71.2,1900,235,600,1.35,30635,61270.0
Canada,Montreal,McGill University,Computer Science,Bachelor,4.0,41500,65.8,1500,235,600,1.35,43835,175340.0
Canada,Montreal,McGill University,Computer Science,Master,2.0,26800,65.8,1500,235,600,1.35,29135,58270.0
Canada,Waterloo,University of Waterloo,Computer Science,Bachelor,4.0,40900,62.4,1300,235,600,1.35,43035,172140.0
Canada,Waterloo,University of Waterloo,Computer Science,Master,2.0,26200,62.4,1300,235,600,1.35,28335,56670.0
Canada,Montreal,University of Montreal,Computer Science,Bachelor,4.0,39500,65.8,1400,235,600,1.35,41735,166940.0
Canada,Montreal,University of Montreal,Computer Science,Master,2.0,25800,65.8,1400,235,600,1.35,28035,56070.0
Canada,Edmonton,University of Alberta,Computer Science,Bachelor,4.0,38200,61.9,1200,235,600,1.35,40235,160940.0
Canada,Edmonton,University of Alberta,Computer Science,Master,2.0,24900,61.9,1200,235,600,1.35,26935,53870.0
Canada,Ottawa,University of Ottawa,Computer Science,Bachelor,4.0,37800,63.5,1400,235,600,1.35,40035,160140.0
Canada,Ottawa,University of Ottawa,Computer Science,Master,2.0,24500,63.5,1400,235,600,1.35,26735,53470.0
Canada,Calgary,University of Calgary,Computer Science,Bachelor,4.0,37200,62.8,1300,235,600,1.35,39335,157340.0
Canada,Calgary,University of Calgary,Computer Science,Master,2.0,24100,62.8,1300,235,600,1.35,26235,52470.0
Canada,Hamilton,McMaster University,Computer Science,Bachelor,4.0,36500,64.2,1250,235,600,1.35,38585,154340.0
Canada,Hamilton,McMaster University,Computer Science,Master,2.0,23800,64.2,1250,235,600,1.35,25885,51770.0
Canada,London,Western University,Computer Science,Bachelor,4.0,35900,61.5,1200,235,600,1.35,37935,151740.0
Canada,London,Western University,Computer Science,Master,2.0,23500,61.5,1200,235,600,1.35,25535,51070.0
Canada,Kingston,Queen's University,Computer Science,Bachelor,4.0,35400,62.1,1300,235,600,1.35,37535,150140.0
Canada,Kingston,Queen's University,Computer Science,Master,2.0,23200,62.1,1300,235,600,1.35,25335,50670.0
Canada,Victoria,University of Victoria,Computer Science,Bachelor,4.0,34800,64.8,1400,235,600,1.35,37035,148140.0
Canada,Victoria,University of Victoria,Computer Science,Master,2.0,22900,64.8,1400,235,600,1.35,25135,50270.0
Canada,Halifax,Dalhousie University,Computer Science,Bachelor,4.0,34200,61.2,1200,235,600,1.35,36235,144940.0
Canada,Halifax,Dalhousie University,Computer Science,Master,2.0,22600,61.2,1200,235,600,1.35,24635,49270.0
Canada,Winnipeg,University of Manitoba,Computer Science,Bachelor,4.0,33600,59.8,1100,235,600,1.35,35535,142140.0
Canada,Winnipeg,University of Manitoba,Computer Science,Master,2.0,22300,59.8,1100,235,600,1.35,24235,48470.0
Canada,Quebec City,Laval University,Computer Science,Bachelor,4.0,33000,58.5,1000,235,600,1.35,34835,139340.0
Canada,Quebec City,Laval University,Computer Science,Master,2.0,22000,58.5,1000,235,600,1.35,23835,47670.0
Canada,Saskatoon,University of Saskatchewan,Computer Science,Bachelor,4.0,32400,58.2,950,235,600,1.35,34185,136740.0
Canada,Saskatoon,University of Saskatchewan,Computer Science,Master,2.0,21700,58.2,950,235,600,1.35,23485,46970.0
Canada,St. John's,Memorial University,Computer Science,Bachelor,4.0,31800,57.9,900,235,600,1.35,33535,134140.0
Canada,St. John's,Memorial University,Computer Science,Master,2.0,21400,57.9,900,235,600,1.35,23135,46270.0
Canada,Regina,University of Regina,Computer Science,Bachelor,4.0,31200,57.5,900,235,600,1.35,32935,131740.0
Canada,Regina,University of Regina,Computer Science,Master,2.0,21100,57.5,900,235,600,1.35,22835,45670.0
Canada,Sherbrooke,University of Sherbrooke,Computer Science,Bachelor,4.0,30600,56.8,850,235,600,1.35,32285,129140.0
Canada,Sherbrooke,University of Sherbrooke,Computer Science,Master,2.0,20800,56.8,850,235,600,1.35,22485,44970.0
Canada,Windsor,University of Windsor,Computer Science,Bachelor,4.0,30000,58.9,950,235,600,1.35,31785,127140.0
Canada,Windsor,University of Windsor,Computer Science,Master,2.0,20500,58.9,950,235,600,1.35,22285,44570.0
Canada,Moncton,University of New Brunswick,Computer Science,Bachelor,4.0,29400,57.2,900,235,600,1.35,31135,124540.0
Canada,Moncton,University of New Brunswick,Computer Science,Master,2.0,20200,57.2,900,235,600,1.35,21935,43870.0
Canada,Trois-Rivieres,UQTR,Computer Science,Bachelor,4.0,28800,56.5,850,235,600,1.35,30485,121940.0
Canada,Trois-Rivieres,UQTR,Computer Science,Master,2.0,19900,56.5,850,235,600,1.35,21585,43170.0
Canada,Thunder Bay,Lakehead University,Computer Science,Bachelor,4.0,28200,56.2,800,235,600,1.35,29835,119340.0
Canada,Thunder Bay,Lakehead University,Computer Science,Master,2.0,19600,56.2,800,235,600,1.35,21235,42470.0
Canada,Sudbury,Laurentian University,Computer Science,Bachelor,4.0,27600,55.8,800,235,600,1.35,29235,116940.0
Canada,Sudbury,Laurentian University,Computer Science,Master,2.0,19300,55.8,800,235,600,1.35,20935,41870.0
Canada,Prince George,UNBC,Computer Science,Bachelor,4.0,27000,55.5,750,235,600,1.35,28585,114340.0
Canada,Prince George,UNBC,Computer Science,Master,2.0,19000,55.5,750,235,600,1.35,20585,41170.0
Australia,Melbourne,University of Melbourne,Computer Science,Bachelor,3.0,42500,72.8,1800,450,650,1.52,45400,136200.0
Australia,Melbourne,University of Melbourne,Computer Science,Master,2.0,45800,72.8,1800,450,650,1.52,48700,97400.0
Australia,Melbourne,University of Melbourne,Computer Science,PhD,4.0,35000,72.8,1800,450,650,1.52,37900,151600.0
Australia,Sydney,University of Sydney,Computer Science,Bachelor,3.0,41800,74.5,2000,450,650,1.52,44900,134700.0
Australia,Sydney,University of Sydney,Computer Science,Master,2.0,44900,74.5,2000,450,650,1.52,48000,96000.0
Australia,Sydney,University of Sydney,Computer Science,PhD,4.0,34500,74.5,2000,450,650,1.52,37600,150400.0
Australia,Canberra,Australian National University,Computer Science,Bachelor,3.0,41200,68.9,1600,450,650,1.52,43900,131700.0
Australia,Canberra,Australian National University,Computer Science,Master,2.0,44200,68.9,1600,450,650,1.52,46900,93800.0
Australia,Canberra,Australian National University,Computer Science,PhD,4.0,34000,68.9,1600,450,650,1.52,36700,146800.0
Australia,Brisbane,University of Queensland,Computer Science,Bachelor,3.0,40500,69.2,1500,450,650,1.52,43100,129300.0
Australia,Brisbane,University of Queensland,Computer Science,Master,2.0,43500,69.2,1500,450,650,1.52,46100,92200.0
Australia,Brisbane,University of Queensland,Computer Science,PhD,4.0,33500,69.2,1500,450,650,1.52,36100,144400.0
Australia,Sydney,University of New South Wales,Computer Science,Bachelor,3.0,40200,74.5,1900,450,650,1.52,43200,129600.0
Australia,Sydney,University of New South Wales,Computer Science,Master,2.0,43200,74.5,1900,450,650,1.52,46200,92400.0
Australia,Sydney,University of New South Wales,Computer Science,PhD,4.0,33200,74.5,1900,450,650,1.52,36200,144800.0
Australia,Melbourne,Monash University,Computer Science,Bachelor,3.0,39800,72.8,1700,450,650,1.52,42600,127800.0
Australia,Melbourne,Monash University,Computer Science,Master,2.0,42800,72.8,1700,450,650,1.52,45600,91200.0
Australia,Melbourne,Monash University,Computer Science,PhD,4.0,32800,72.8,1700,450,650,1.52,35600,142400.0
Australia,Adelaide,University of Adelaide,Computer Science,Bachelor,3.0,39200,67.5,1400,450,650,1.52,41700,125100.0
Australia,Adelaide,University of Adelaide,Computer Science,Master,2.0,42200,67.5,1400,450,650,1.52,44700,89400.0
Australia,Adelaide,University of Adelaide,Computer Science,PhD,4.0,32200,67.5,1400,450,650,1.52,34700,138800.0
Australia,Perth,University of Western Australia,Computer Science,Bachelor,3.0,38800,68.2,1500,450,650,1.52,41400,124200.0
Australia,Perth,University of Western Australia,Computer Science,Master,2.0,41800,68.2,1500,450,650,1.52,44400,88800.0
Australia,Perth,University of Western Australia,Computer Science,PhD,4.0,31800,68.2,1500,450,650,1.52,34400,137600.0
Australia,Brisbane,Queensland University of Technology,Computer Science,Bachelor,3.0,38200,69.2,1400,450,650,1.52,40700,122100.0
Australia,Brisbane,Queensland University of Technology,Computer Science,Master,2.0,41200,69.2,1400,450,650,1.52,43700,87400.0
Australia,Brisbane,Queensland University of Technology,Computer Science,PhD,4.0,31200,69.2,1400,450,650,1.52,33700,134800.0
Australia,Sydney,University of Technology Sydney,Computer Science,Bachelor,3.0,37800,74.5,1800,450,650,1.52,40700,122100.0
Australia,Sydney,University of Technology Sydney,Computer Science,Master,2.0,40800,74.5,1800,450,650,1.52,43700,87400.0
Australia,Sydney,University of Technology Sydney,Computer Science,PhD,4.0,30800,74.5,1800,450,650,1.52,33700,134800.0
Australia,Melbourne,RMIT University,Computer Science,Bachelor,3.0,37200,72.8,1600,450,650,1.52,39900,119700.0
Australia,Melbourne,RMIT University,Computer Science,Master,2.0,40200,72.8,1600,450,650,1.52,42900,85800.0
Australia,Melbourne,RMIT University,Computer Science,PhD,4.0,30200,72.8,1600,450,650,1.52,32900,131600.0
Australia,Wollongong,University of Wollongong,Computer Science,Bachelor,3.0,36800,65.8,1300,450,650,1.52,39200,117600.0
Australia,Wollongong,University of Wollongong,Computer Science,Master,2.0,39800,65.8,1300,450,650,1.52,42200,84400.0
Australia,Wollongong,University of Wollongong,Computer Science,PhD,4.0,29800,65.8,1300,450,650,1.52,32200,128800.0
Australia,Newcastle,University of Newcastle,Computer Science,Bachelor,3.0,36200,66.2,1300,450,650,1.52,38600,115800.0
Australia,Newcastle,University of Newcastle,Computer Science,Master,2.0,39200,66.2,1300,450,650,1.52,41600,83200.0
Australia,Newcastle,University of Newcastle,Computer Science,PhD,4.0,29200,66.2,1300,450,650,1.52,31600,126400.0
Australia,Hobart,University of Tasmania,Computer Science,Bachelor,3.0,35800,64.5,1200,450,650,1.52,38100,114300.0
Australia,Hobart,University of Tasmania,Computer Science,Master,2.0,38800,64.5,1200,450,650,1.52,41100,82200.0
Australia,Hobart,University of Tasmania,Computer Science,PhD,4.0,28800,64.5,1200,450,650,1.52,31100,124400.0
Australia,Gold Coast,Griffith University,Computer Science,Bachelor,3.0,35200,68.5,1400,450,650,1.52,37700,113100.0
Australia,Gold Coast,Griffith University,Computer Science,Master,2.0,38200,68.5,1400,450,650,1.52,40700,81400.0
Australia,Gold Coast,Griffith University,Computer Science,PhD,4.0,28200,68.5,1400,450,650,1.52,30700,122800.0
Australia,Canberra,University of Canberra,Computer Science,Bachelor,3.0,34800,68.9,1500,450,650,1.52,37400,112200.0
Australia,Canberra,University of Canberra,Computer Science,Master,2.0,37800,68.9,1500,450,650,1.52,40400,80800.0
Australia,Canberra,University of Canberra,Computer Science,PhD,4.0,27800,68.9,1500,450,650,1.52,30400,121600.0
Australia,Townsville,James Cook University,Computer Science,Bachelor,3.0,34200,65.2,1200,450,650,1.52,36500,109500.0
Australia,Townsville,James Cook University,Computer Science,Master,2.0,37200,65.2,1200,450,650,1.52,39500,79000.0
Australia,Townsville,James Cook University,Computer Science,PhD,4.0,27200,65.2,1200,450,650,1.52,29500,118000.0
Australia,Armidale,University of New England,Computer Science,Bachelor,3.0,33800,63.8,1100,450,650,1.52,36000,108000.0
Australia,Armidale,University of New England,Computer Science,Master,2.0,36800,63.8,1100,450,650,1.52,39000,78000.0
Australia,Armidale,University of New England,Computer Science,PhD,4.0,26800,63.8,1100,450,650,1.52,29000,116000.0
Australia,Toowoomba,University of Southern Queensland,Computer Science,Bachelor,3.0,33200,64.2,1100,450,650,1.52,35400,106200.0
Australia,Toowoomba,University of Southern Queensland,Computer Science,Master,2.0,36200,64.2,1100,450,650,1.52,38400,76800.0
Australia,Toowoomba,University of Southern Queensland,Computer Science,PhD,4.0,26200,64.2,1100,450,650,1.52,28400,113600.0
Australia,Ballarat,Federation University,Computer Science,Bachelor,3.0,32800,63.5,1000,450,650,1.52,34900,104700.0
Australia,Ballarat,Federation University,Computer Science,Master,2.0,35800,63.5,1000,450,650,1.52,37900,75800.0
Australia,Ballarat,Federation University,Computer Science,PhD,4.0,25800,63.5,1000,450,650,1.52,27900,111600.0
Australia,Lismore,Southern Cross University,Computer Science,Bachelor,3.0,32200,63.2,1000,450,650,1.52,34300,102900.0
Australia,Lismore,Southern Cross University,Computer Science,Master,2.0,35200,63.2,1000,450,650,1.52,37300,74600.0
Australia,Lismore,Southern Cross University,Computer Science,PhD,4.0,25200,63.2,1000,450,650,1.52,27300,109200.0
USA,Boston,MIT,Computer Science,Master,2.0,58000,82.1,2100,160,1500,1.0,61760,123520.0
UK,London,Imperial College London,Data Science,Master,1.0,42000,75.3,1800,485,800,0.79,45085,45085.0
Germany,Munich,TU Munich,Mechanical Engineering,Master,2.0,0,71.5,1200,110,900,0.92,2210,4420.0
Canada,Toronto,University of Toronto,Business Analytics,Master,2.0,45000,73.8,1700,235,750,1.35,47685,95370.0
Australia,Melbourne,University of Melbourne,Artificial Intelligence,PhD,4.0,29000,72.4,1500,450,650,1.52,31600,126400.0
USA,Stanford,Stanford University,Physics,PhD,5.0,52000,84.3,2300,160,1500,1.0,55960,279800.0
UK,Edinburgh,University of Edinburgh,Chemistry,Master,2.0,38000,67.8,1100,485,800,0.79,40385,80770.0
Germany,Berlin,Humboldt University,Computer Science,Bachelor,3.0,0,68.9,950,110,900,0.92,1960,5880.0
Canada,Vancouver,University of British Columbia,Environmental Science,Master,2.0,42000,71.2,1600,235,750,1.35,44585,89170.0
Australia,Sydney,University of Sydney,Biotechnology,PhD,4.0,31000,75.6,1700,450,650,1.52,33800,135200.0
USA,Berkeley,UC Berkeley,Mathematics,Master,2.0,54000,83.2,2000,160,1500,1.0,57660,115320.0
UK,Manchester,University of Manchester,Engineering,Bachelor,3.0,35000,65.4,900,485,800,0.79,37185,111555.0
Germany,Hamburg,University of Hamburg,Physics,Master,2.0,0,69.8,1100,110,900,0.92,2110,4220.0
Canada,Montreal,McGill University,Computer Science,PhD,4.0,38000,68.9,1400,235,750,1.35,40385,161540.0
Australia,Brisbane,University of Queensland,Data Science,Master,2.0,32000,68.7,1200,450,650,1.52,34300,68600.0
USA,New York,Columbia University,Economics,Master,2.0,62000,100.0,2500,160,1500,1.0,66160,132320.0
UK,Oxford,University of Oxford,Computer Science,PhD,4.0,40000,71.5,1400,485,800,0.79,42685,170740.0
Germany,Dresden,TU Dresden,Mechanical Engineering,Bachelor,3.0,0,65.4,800,110,900,0.92,1810,5430.0
Canada,Ottawa,University of Ottawa,Artificial Intelligence,Master,2.0,40000,67.8,1300,235,750,1.35,42285,84570.0
Australia,Perth,University of Western Australia,Physics,Master,2.0,30000,67.2,1100,450,650,1.52,32200,64400.0
USA,Atlanta,Georgia Tech,Engineering,PhD,5.0,48000,71.2,1700,160,1500,1.0,51360,256800.0
UK,Bristol,University of Bristol,Data Science,Master,2.0,36000,68.9,1200,485,800,0.79,38485,76970.0
Germany,Frankfurt,Goethe University,Computer Science,Master,2.0,0,72.3,1300,110,900,0.92,2310,4620.0
Canada,Calgary,University of Calgary,Mathematics,Bachelor,4.0,35000,65.4,1200,235,750,1.35,37185,148740.0
Australia,Adelaide,University of Adelaide,Chemistry,PhD,4.0,28000,64.5,1000,450,650,1.52,30100,120400.0
USA,Los Angeles,UCLA,Computer Science,Master,2.0,52000,79.8,2200,160,1500,1.0,55860,111720.0
UK,Glasgow,University of Glasgow,Physics,Bachelor,3.0,34000,64.5,950,485,800,0.79,36235,108705.0
Germany,Stuttgart,University of Stuttgart,Engineering,Master,2.0,0,68.7,1100,110,900,0.92,2110,4220.0
Canada,Edmonton,University of Alberta,Data Science,Master,2.0,37000,64.3,1100,235,750,1.35,39085,78170.0
Australia,Canberra,Australian National University,Computer Science,PhD,4.0,33000,69.8,1300,450,650,1.52,35400,141600.0
USA,Austin,UT Austin,Mathematics,Master,2.0,45000,68.9,1600,160,1500,1.0,48260,96520.0
UK,Leeds,University of Leeds,Chemistry,PhD,4.0,35000,63.2,900,485,800,0.79,37185,148740.0
Germany,Heidelberg,Heidelberg University,Physics,Bachelor,3.0,0,67.8,1000,110,900,0.92,2010,6030.0
Canada,Halifax,Dalhousie University,Engineering,Master,2.0,36000,63.4,1000,235,750,1.35,37985,75970.0
Australia,Gold Coast,Griffith University,Data Science,Master,2.0,29000,65.4,1100,450,650,1.52,31200,62400.0
USA,Seattle,University of Washington,Computer Science,PhD,5.0,50000,77.8,2000,160,1500,1.0,53660,268300.0
UK,Sheffield,University of Sheffield,Engineering,Master,2.0,33000,62.3,850,485,800,0.79,35135,70270.0
Germany,Cologne,University of Cologne,Mathematics,Master,2.0,0,69.8,1200,110,900,0.92,2210,4420.0
Canada,Quebec City,Laval University,Physics,Bachelor,3.0,34000,62.1,900,235,750,1.35,35885,107655.0
Australia,Newcastle,University of Newcastle,Chemistry,Master,2.0,27000,63.2,950,450,650,1.52,29050,58100.0
USA,Pittsburgh,Carnegie Mellon,Data Science,Master,2.0,56000,65.4,1500,160,1500,1.0,59160,118320.0
UK,Nottingham,University of Nottingham,Computer Science,PhD,4.0,34000,61.2,800,485,800,0.79,36085,144340.0
Germany,Bonn,University of Bonn,Engineering,Master,2.0,0,67.8,1100,110,900,0.92,2110,4220.0
Canada,Victoria,University of Victoria,Mathematics,Master,2.0,35000,64.5,1100,235,750,1.35,37085,74170.0
Australia,Hobart,University of Tasmania,Physics,Bachelor,3.0,26000,62.1,900,450,650,1.52,28000,84000.0
USA,San Diego,UC San Diego,Chemistry,PhD,5.0,49000,75.6,1900,160,1500,1.0,52560,262800.0
UK,Durham,Durham University,Engineering,Master,2.0,35000,63.4,900,485,800,0.79,37185,74370.0
Germany,Aachen,RWTH Aachen,Computer Science,Bachelor,3.0,0,68.9,1000,110,900,0.92,2010,6030.0
Canada,Winnipeg,University of Manitoba,Data Science,Master,2.0,33000,61.2,900,235,750,1.35,34885,69770.0
Australia,Wollongong,University of Wollongong,Mathematics,PhD,4.0,28000,63.4,950,450,650,1.52,30050,120200.0
USA,San Francisco,UC Berkeley Extension,Data Science,Master,2.0,52000,95.2,2400,160,1500,1.0,56060,112120.0
UK,London,King's College London,Computer Science,Master,1.0,39000,75.3,1900,485,800,0.79,42185,42185.0
Switzerland,Zurich,ETH Zurich,Computer Science,Master,2.0,1500,122.4,2000,140,1200,0.89,4840,9680.0
France,Paris,Sorbonne University,Data Analytics,Master,2.0,4500,84.3,1800,99,850,0.92,7249,14498.0
Ireland,Dublin,Trinity College Dublin,Computer Science,PhD,4.0,18900,83.6,1700,150,750,0.92,21500,86000.0
USA,Chicago,University of Chicago,Data Science,Master,2.0,58000,84.1,1900,160,1500,1.0,61560,123120.0
UK,Cambridge,Anglia Ruskin University,Data Analytics,Bachelor,3.0,35000,71.2,1500,485,800,0.79,37785,113355.0
Switzerland,Lausanne,EPFL,Computer Science,PhD,4.0,1500,119.8,1900,140,1200,0.89,4740,18960.0
France,Lyon,University of Lyon,Data Science,Master,2.0,4200,75.6,1200,99,850,0.92,6349,12698.0
Ireland,Cork,University College Cork,Computer Science,Master,2.0,16800,75.4,1300,150,750,0.92,19000,38000.0
USA,Boston,Northeastern University,Data Analytics,Master,2.0,54000,82.1,2200,160,1500,1.0,57860,115720.0
UK,Edinburgh,Heriot-Watt University,Computer Science,Master,1.0,37000,67.8,1200,485,800,0.79,39485,39485.0
Switzerland,Geneva,University of Geneva,Data Science,Master,2.0,1500,116.5,1800,140,1200,0.89,4640,9280.0
France,Toulouse,University of Toulouse,Computer Science,Bachelor,3.0,4000,71.2,900,99,850,0.92,5849,17547.0
Ireland,Galway,NUI Galway,Data Analytics,Master,2.0,15900,72.3,1100,150,750,0.92,17900,35800.0
USA,Seattle,University of Washington,Data Science,PhD,4.0,51000,77.8,2100,160,1500,1.0,54760,219040.0
UK,Birmingham,University of Birmingham,Computer Science,Master,1.0,36000,65.4,1100,485,800,0.79,38385,38385.0
Switzerland,Basel,University of Basel,Data Science,Master,2.0,1500,114.3,1700,140,1200,0.89,4540,9080.0
France,Bordeaux,University of Bordeaux,Data Analytics,Master,2.0,4300,72.1,1000,99,850,0.92,6249,12498.0
Ireland,Limerick,University of Limerick,Computer Science,Bachelor,4.0,15400,71.2,1000,150,750,0.92,17300,69200.0
USA,Austin,UT Austin,Computer Science,Master,2.0,49000,68.9,1800,160,1500,1.0,52460,104920.0
UK,Manchester,University of Salford,Data Science,Master,1.0,35000,65.4,1000,485,800,0.79,37285,37285.0
Switzerland,St. Gallen,University of St. Gallen,Data Analytics,Master,2.0,1500,112.1,1600,140,1200,0.89,4440,8880.0
France,Nice,University of Nice,Computer Science,Master,2.0,4100,76.5,1300,99,850,0.92,6349,12698.0
Ireland,Maynooth,Maynooth University,Data Science,PhD,4.0,14900,70.1,950,150,750,0.92,16750,67000.0
USA,Denver,University of Denver,Data Analytics,Master,2.0,47000,69.8,1700,160,1500,1.0,50360,100720.0
UK,Leeds,Leeds Beckett University,Computer Science,Bachelor,3.0,34000,63.2,900,485,800,0.79,36185,108555.0
Switzerland,Bern,University of Bern,Data Science,Master,2.0,1500,110.4,1500,140,1200,0.89,4340,8680.0
France,Lille,University of Lille,Data Analytics,PhD,4.0,4200,69.8,950,99,850,0.92,6099,24396.0
Ireland,Waterford,Waterford IT,Computer Science,Master,2.0,14500,68.9,900,150,750,0.92,16300,32600.0
USA,Portland,Portland State University,Data Science,Master,2.0,45000,71.2,1600,160,1500,1.0,48260,96520.0
UK,Bristol,UWE Bristol,Computer Science,Master,1.0,33000,68.9,1100,485,800,0.79,35385,35385.0
Switzerland,Lugano,USI Lugano,Data Analytics,Master,2.0,1500,108.9,1400,140,1200,0.89,4240,8480.0
France,Strasbourg,University of Strasbourg,Computer Science,Master,2.0,4000,70.2,1000,99,850,0.92,5949,11898.0
Ireland,Sligo,IT Sligo,Data Science,Bachelor,4.0,14000,67.5,850,150,750,0.92,15750,63000.0
USA,Minneapolis,University of Minnesota,Computer Science,PhD,4.0,48000,72.3,1700,160,1500,1.0,51360,205440.0
